"Survived","Name"
0,"Goodwin, Master. William Frederick"
0,"Sirayanian, Mr. Orsen"
0,"Harris, Mr. Henry Birkhardt"
0,"Skoog, Master. Harald"
1,"Nye, Mrs. (Elizabeth Ramell)"
0,"Crease, Mr. Ernest James"
1,"Andersson, Miss. Erna Alexandra"
0,"Kink, Mr. Vincenz"
0,"Jenkin, Mr. Stephen Curnow"
0,"Goodwin, Miss. Lillian Amy"
0,"Hood, Mr. Ambrose Jr"
0,"Chronopoulos, Mr. Apostolos"
1,"Bing, Mr. Lee"
0,"Moen, Mr. Sigurd Hansen"
1,"Caldwell, Master. Alden Gates"
1,"Dowdell, Miss. Elizabeth"
0,"Waelens, Mr. Achille"
1,"Sheerlinck, Mr. Jan Baptist"
0,"Carrau, Mr. Francisco M"
1,"Ilett, Miss. Bertha"
1,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)"
0,"Ford, Mr. William Neal"
1,"Fortune, Miss. Mabel Helen"
0,"Celotti, Mr. Francesco"
0,"Christmann, Mr. Emil"
0,"Andreasson, Mr. Paul Edvin"
0,"Chaffee, Mr. Herbert Fuller"
0,"Dean, Mr. Bertram Frank"
0,"Coxon, Mr. Daniel"
0,"Goldschmidt, Mr. George B"
1,"Greenfield, Mr. William Bertram"
1,"Doling, Mrs. John T (Ada Julia Bone)"
0,"Kantor, Mr. Sinai"
0,"Petranec, Miss. Matilda"
0,"White, Mr. Richard Frasar"
0,"Johansson, Mr. Gustaf Joel"
0,"Gustafsson, Mr. Anders Vilhelm"
0,"Mionoff, Mr. Stoytcho"
1,"Salkjelsvik, Miss. Anna Kristine"
0,"Rekic, Mr. Tido"
0,"Porter, Mr. Walter Chamberlain"
0,"Zabour, Miss. Hileni"
0,"Barton, Mr. David John"
0,"Jussila, Miss. Katriina"
0,"Attalah, Miss. Malake"
0,"Pekoniemi, Mr. Edvard"
0,"Connors, Mr. Patrick"
0,"Turpin, Mr. William John Robert"
0,"Baxter, Mr. Quigg Edmond"
0,"Andersson, Miss. Ellis Anna Maria"
0,"Hickman, Mr. Stanley George"
0,"Nasser, Mr. Nicholas"
1,"Webber, Miss. Susan"
0,"White, Mr. Percival Wayland"
1,"Nicola-Yarred, Master. Elias"
1,"Madsen, Mr. Fridtjof Arne"
0,"Ekstrom, Mr. Johan"
0,"Drazenoic, Mr. Jozef"
0,"Coelho, Mr. Domingos Fernandeo"
0,"Robins, Mrs. Alexander A (Grace Charity Laury)"
1,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)"
0,"Sobey, Mr. Samuel James Hayden"
0,"Richard, Mr. Emile"
1,"Newsom, Miss. Helen Monypeny"
0,"Futrelle, Mr. Jacques Heath"
0,"Osen, Mr. Olaf Elon"
0,"Giglio, Mr. Victor"
1,"Nysten, Miss. Anna Sofia"
1,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)"
0,"Burke, Mr. Jeremiah"
0,"Andrew, Mr. Edgardo Samuel"
0,"Nicholls, Mr. Joseph Charles"
1,"Andersson, Mr. August Edvard (""Wennerstrom"")"
0,"Ford, Miss. Robina Maggie ""Ruby"""
0,"Navratil, Mr. Michel (""Louis M Hoffman"")"
0,"Byles, Rev. Thomas Roussel Davids"
0,"Bateman, Rev. Robert James"
1,"Pears, Mrs. Thomas (Edith Wearne)"
0,"Meo, Mr. Alfonzo"
0,"van Billiard, Mr. Austin Blyler"
0,"Williams, Mr. Charles Duane"
1,"Gilnagh, Miss. Katherine ""Katie"""
0,"Corn, Mr. Harry"
0,"Cribb, Mr. John Hatfield"
1,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)"
0,"Bengtsson, Mr. John Viktor"
0,"Calic, Mr. Jovo"
0,"Panula, Master. Eino Viljami"
1,"Goldsmith, Master. Frank John William ""Frankie"""
0,"Skoog, Mrs. William (Anna Bernhardina Karlsson)"
0,"Ling, Mr. Lee"
0,"Van der hoef, Mr. Wyckoff"
0,"Rice, Master. Arthur"
1,"Johnson, Miss. Eleanor Ileen"
0,"Sivola, Mr. Antti Wilhelm"
0,"Smith, Mr. James Clinch"
0,"Klasen, Mr. Klas Albin"
0,"Isham, Miss. Ann Elizabeth"
0,"Hale, Mr. Reginald"
0,"Leonard, Mr. Lionel"
0,"Asplund, Master. Clarence Gustaf Hugo"
1,"Becker, Master. Richard F"
1,"Kink-Heilmann, Miss. Luise Gretchen"
1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")"
0,"Bourke, Mr. John"
0,"Turcin, Mr. Stjepan"
1,"Pinsky, Mrs. (Rosa)"
0,"Carbines, Mr. William"
1,"Andersen-Jensen, Miss. Carla Christine Nielsine"
1,"Navratil, Master. Michel M"
1,"Brown, Mrs. James Joseph (Margaret Tobin)"
1,"Lurette, Miss. Elise"
0,"Olsen, Mr. Karl Siegwart Andreas"
0,"Yrois, Miss. Henriette (""Mrs Harbeck"")"
0,"Vande Walle, Mr. Nestor Cyriel"
0,"Johanson, Mr. Jakob Alfred"
0,"Youseff, Mr. Gerious"
1,"Cohen, Mr. Gurshon ""Gus"""
0,"Strom, Miss. Telma Matilda"
0,"Backstrom, Mr. Karl Alfred"
1,"Albimona, Mr. Nassef Cassem"
1,"Carr, Miss. Helen ""Ellen"""
1,"Blank, Mr. Henry"
0,"Ali, Mr. Ahmed"
1,"Cameron, Miss. Clear Annie"
0,"Perkin, Mr. John Henry"
0,"Givard, Mr. Hans Kristensen"
1,"Newell, Miss. Madeleine"
1,"Honkanen, Miss. Eliina"
0,"Jacobsohn, Mr. Sidney Samuel"
1,"Bazzani, Miss. Albina"
0,"Harris, Mr. Walter"
1,"Sunderland, Mr. Victor Francis"
0,"Bracken, Mr. James H"
0,"Green, Mr. George Henry"
1,"Hoyt, Mr. Frederick Maxfield"
0,"Berglund, Mr. Karl Ivar Sven"
1,"Mellors, Mr. William John"
0,"Lovell, Mr. John Hall (""Henry"")"
0,"Fahlstrom, Mr. Arne Jonas"
1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)"
0,"Larsson, Mr. Bengt Edvin"
0,"Sjostedt, Mr. Ernst Adolf"
1,"Asplund, Miss. Lillian Gertrud"
0,"Leyson, Mr. Robert William Norman"
0,"Hold, Mr. Stephen"
1,"Collyer, Miss. Marjorie ""Lottie"""
0,"Pengelly, Mr. Frederick William"
0,"Hunt, Mr. George Henry"
0,"Coleridge, Mr. Reginald Charles"
0,"Maenpaa, Mr. Matti Alexanteri"
0,"Attalah, Mr. Sleiman"
0,"Minahan, Dr. William Edward"
0,"Lindahl, Miss. Agda Thorilda Viktoria"
1,"Hamalainen, Mrs. William (Anna)"
1,"Beckwith, Mr. Richard Leonard"
0,"Carter, Rev. Ernest Courtenay"
0,"Strom, Mrs. Wilhelm (Elna Matilda Persson)"
0,"Stead, Mr. William Thomas"
0,"Lobb, Mr. William Arthur"
0,"Rosblom, Mrs. Viktor (Helena Wilhelmina)"
1,"Touma, Mrs. Darwis (Hanne Youssef Razi)"
1,"Cherry, Miss. Gladys"
1,"Ward, Miss. Anna"
1,"Parrish, Mrs. (Lutie Davis)"
1,"Asplund, Master. Edvin Rojj Felix"
0,"Taussig, Mr. Emil"
0,"Harrison, Mr. William"
0,"Reeves, Mr. David"
0,"Panula, Mr. Ernesti Arvid"
1,"Persson, Mr. Ernst Ulrik"
1,"Graham, Mrs. William Thompson (Edith Junkins)"
1,"Bissette, Miss. Amelia"
1,"Tornquist, Mr. William Henry"
1,"Mellinger, Mrs. (Elizabeth Anne Maidment)"
0,"Natsch, Mr. Charles H"
1,"Andrews, Miss. Kornelia Theodosia"
0,"Lindblom, Miss. Augusta Charlotta"
0,"Rice, Master. Eric"
1,"Abbott, Mrs. Stanton (Rosa Hunt)"
0,"Duane, Mr. Frank"
0,"Olsson, Mr. Nils Johan Goransson"
0,"de Pelsmaeker, Mr. Alfons"
1,"Dorking, Mr. Edward Arthur"
0,"Stankovic, Mr. Ivan"
1,"de Mulder, Mr. Theodore"
0,"Naidenoff, Mr. Penko"
1,"Hosono, Mr. Masabumi"
1,"Connolly, Miss. Kate"
1,"Barber, Miss. Ellen ""Nellie"""
1,"Bishop, Mrs. Dickinson H (Helen Walton)"
0,"Levy, Mr. Rene Jacques"
0,"Haas, Miss. Aloisia"
0,"Mineff, Mr. Ivan"
0,"Hanna, Mr. Mansour"
0,"Allison, Miss. Helen Loraine"
1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)"
0,"Johnson, Mr. William Cahoone Jr"
1,"Allison, Master. Hudson Trevor"
1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)"
0,"Abelson, Mr. Samuel"
1,"Francatelli, Miss. Laura Mabel"
1,"Hays, Miss. Margaret Bechstein"
1,"Ryerson, Miss. Emily Borie"
0,"Lahtinen, Mrs. William (Anna Sylfven)"
0,"Hendekovic, Mr. Ignjac"
0,"Hart, Mr. Benjamin"
1,"Nilsson, Miss. Helmina Josefina"
1,"Kantor, Mrs. Sinai (Miriam Sternin)"
0,"Moraweck, Dr. Ernest"
1,"Wick, Miss. Mary Natalie"
1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)"
0,"Dennis, Mr. Samuel"
0,"Danoff, Mr. Yoto"
1,"Slayter, Miss. Hilda Mary"
1,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)"
1,"Young, Miss. Marie Grice"
0,"Nysveen, Mr. Johan Hansen"
1,"Ball, Mrs. (Ada E Hall)"
1,"Goldsmith, Mrs. Frank John (Emily Alice Brown)"
1,"Hippach, Miss. Jean Gertrude"
0,"Partner, Mr. Austen"
0,"Graham, Mr. George Edward"
0,"Vander Planke, Mr. Leo Edmondus"
0,"Pears, Mr. Thomas Clinton"
1,"Burns, Miss. Elizabeth Margaret"
1,"Dahl, Mr. Karl Edwart"
0,"Blackwell, Mr. Stephen Weart"
1,"Navratil, Master. Edmond Roger"
1,"Fortune, Miss. Alice Elizabeth"
0,"Collander, Mr. Erik Gustaf"
0,"Sedgwick, Mr. Charles Frederick Waddington"
0,"Fox, Mr. Stanley Hubert"
1,"Brown, Miss. Amelia ""Mildred"""
1,"Smith, Miss. Marion Elsie"
1,"Coutts, Master. William Loch ""William"""
0,"Dimic, Mr. Jovan"
0,"Odahl, Mr. Nils Martin"
0,"Elias, Mr. Tannous"
0,"Arnold-Franchi, Mr. Josef"
0,"Vanden Steen, Mr. Leo Peter"
1,"Bowerman, Miss. Elsie Edith"
0,"Funk, Miss. Annie Clemmer"
0,"Skoog, Mr. Wilhelm"
0,"del Carlo, Mr. Sebastiano"
0,"Barbara, Mrs. (Catherine David)"
0,"Asim, Mr. Adola"
0,"Adahl, Mr. Mauritz Nils Martin"
1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)"
1,"Aubart, Mme. Leontine Pauline"
1,"Harder, Mr. George Achilles"
0,"Wiklund, Mr. Jakob Alfred"
0,"Beavan, Mr. William Thomas"
0,"Ringhini, Mr. Sante"
0,"Palsson, Miss. Stina Viola"
1,"Landergren, Miss. Aurora Adelia"
0,"Widener, Mr. Harry Elkins"
0,"Betros, Mr. Tannous"
0,"Gustafsson, Mr. Karl Gideon"
1,"Bidois, Miss. Rosalie"
1,"Nakid, Miss. Maria (""Mary"")"
0,"Tikkanen, Mr. Juho"
1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)"
0,"Davies, Mr. Charles Henry"
0,"Goodwin, Master. Sidney Leonard"
1,"Buss, Miss. Kate"
1,"Lehmann, Miss. Bertha"
1,"Carter, Mr. William Ernest"
1,"Jansson, Mr. Carl Olof"
0,"Gustafsson, Mr. Johan Birger"
1,"Newell, Miss. Marjorie"
1,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)"
0,"Johansson, Mr. Erik"
0,"Olsson, Miss. Elina"
0,"McKane, Mr. Peter David"
0,"Pain, Dr. Alfred"
1,"Trout, Mrs. William H (Jessie L)"
1,"Niskanen, Mr. Juha"
0,"Adams, Mr. John"
0,"Jussila, Miss. Mari Aina"
0,"Hakkarainen, Mr. Pekka Pietari"
0,"Oreskovic, Miss. Marija"
0,"Gale, Mr. Shadrach"
0,"Widegren, Mr. Carl/Charles Peter"
1,"Richards, Master. William Rowe"
0,"Birkeland, Mr. Hans Martin Monsen"
1,"Minahan, Miss. Daisy E"
1,"Sundman, Mr. Johan Julian"
1,"Drew, Mrs. James Vivian (Lulu Thorne Christian)"
1,"Silven, Miss. Lyyli Karoliina"
0,"Matthews, Mr. William John"
0,"Van Impe, Miss. Catharina"
0,"Charters, Mr. David"
0,"Zimmerman, Mr. Leo"
0,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)"
0,"Rosblom, Mr. Viktor Richard"
1,"Clarke, Mrs. Charles V (Ada Maria Winfield)"
1,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")"
1,"Pickard, Mr. Berk (Berk Trembisky)"
1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan"
1,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)"
0,"Kallio, Mr. Nikolai Erland"
0,"Silvey, Mr. William Baird"
1,"Carter, Miss. Lucile Polk"
0,"Ford, Miss. Doolina Margaret ""Daisy"""
1,"Richards, Mrs. Sidney (Emily Hocking)"
0,"Fortune, Mr. Mark"
0,"Kvillner, Mr. Johan Henrik Johannesson"
1,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)"
0,"Hampe, Mr. Leon"
0,"Petterson, Mr. Johan Emil"
1,"Reynaldo, Ms. Encarnacion"
1,"Dodge, Master. Washington"
1,"Mellinger, Miss. Madeleine Violet"
1,"Seward, Mr. Frederic Kimber"
1,"Baclini, Miss. Marie Catherine"
1,"Peuchen, Major. Arthur Godfrey"
0,"West, Mr. Edwy Arthur"
0,"Foreman, Mr. Benjamin Laventall"
1,"Goldenberg, Mr. Samuel L"
1,"Jalsevac, Mr. Ivan"
0,"Millet, Mr. Francis Davis"
1,"Toomey, Miss. Ellen"
1,"Anderson, Mr. Harry"
0,"Morley, Mr. William"
0,"Gee, Mr. Arthur H"
0,"Milling, Mr. Jacob Christian"
0,"Goncalves, Mr. Manuel Estanslas"
0,"Smart, Mr. John Montgomery"
1,"Baclini, Miss. Helene Barbara"
0,"Cacic, Mr. Luka"
1,"West, Mrs. Edwy Arthur (Ada Mary Worth)"
1,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)"
0,"Strandberg, Miss. Ida Sofia"
0,"Renouf, Mr. Peter Henry"
0,"Braund, Mr. Lewis Richard"
0,"Karlsson, Mr. Nils August"
1,"Hirvonen, Miss. Hildur E"
0,"Goodwin, Master. Harold Victor"
0,"Rouse, Mr. Richard Henry"
1,"Turkula, Mrs. (Hedwig)"
1,"Bishop, Mr. Dickinson H"
1,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)"
0,"Kent, Mr. Edward Austin"
0,"Somerton, Mr. Francis William"
1,"Coutts, Master. Eden Leslie ""Neville"""
0,"Windelov, Mr. Einar"
0,"Molson, Mr. Harry Markland"
0,"Artagaveytia, Mr. Ramon"
0,"Stanley, Mr. Edward Roland"
1,"Eustis, Miss. Elizabeth Mussey"
0,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)"
0,"Svensson, Mr. Olof"
0,"Calic, Mr. Petar"
0,"Canavan, Miss. Mary"
0,"Laitinen, Miss. Kristina Sofia"
1,"Maioni, Miss. Roberta"
0,"Penasco y Castellana, Mr. Victor de Satode"
1,"Quick, Mrs. Frederick Charles (Jane Richards)"
0,"Olsen, Mr. Henry Margido"
1,"Lang, Mr. Fang"
1,"Daly, Mr. Eugene Patrick"
1,"McGough, Mr. James Robert"
1,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)"
0,"Coleff, Mr. Satio"
0,"Walker, Mr. William Anderson"
1,"Lemore, Mrs. (Amelia Milley)"
1,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)"
0,"Pavlovic, Mr. Stefo"
1,"Perreault, Miss. Anne"
0,"Vovk, Mr. Janko"
1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)"
0,"Farrell, Mr. James"
1,"Ridsdale, Miss. Lucy"
0,"Salonen, Mr. Johan Werner"
0,"Hocking, Mr. Richard George"
1,"Quick, Miss. Phyllis May"
0,"Elias, Mr. Joseph Jr"
0,"Cacic, Miss. Marija"
1,"Hart, Miss. Eva Miriam"
0,"Butt, Major. Archibald Willingham"
1,"LeRoy, Miss. Bertha"
1,"Frolicher, Miss. Hedwig Margaritha"
1,"Crosby, Miss. Harriet R"
0,"Andersson, Miss. Ingeborg Constanzia"
0,"Andersson, Miss. Sigrid Elisabeth"
1,"Beane, Mr. Edward"
0,"Douglas, Mr. Walter Donald"
0,"Nicholson, Mr. Arthur Ernest"
1,"Beane, Mrs. Edward (Ethel Clarke)"
0,"Goldsmith, Mr. Frank John"
1,"Davies, Master. John Morgan Jr"
1,"Thayer, Mr. John Borland Jr"
0,"Sharp, Mr. Percival James R"
1,"Leeni, Mr. Fahim (""Philip Zenni"")"
1,"Ohman, Miss. Velin"
0,"Wright, Mr. George"
1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")"
1,"Taussig, Mrs. Emil (Tillie Mandelbaum)"
1,"de Messemaeker, Mrs. Guillaume Joseph (Emma)"
0,"Sivic, Mr. Husein"
0,"Norman, Mr. Robert Douglas"
0,"Davies, Mr. Alfred J"
0,"Stoytcheff, Mr. Ilia"
0,"Palsson, Mrs. Nils (Alma Cornelia Berglund)"
1,"Jonsson, Mr. Carl"
1,"Harris, Mr. George"
1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)"
1,"Flynn, Mr. John Irwin (""Irving"")"
0,"Rush, Mr. Alfred George John"
0,"Patchett, Mr. George"
1,"Garside, Miss. Ethel"
1,"Silvey, Mrs. William Baird (Alice Munger)"
1,"Jussila, Mr. Eiriik"
1,"Christy, Miss. Julie Rachel"
1,"Thayer, Mrs. John Borland (Marian Longstreth Morris)"
0,"Downton, Mr. William James"
0,"Ross, Mr. John Hugo"
1,"Taussig, Miss. Ruth"
0,"Jarvis, Mr. John Denzil"
1,"Frolicher-Stehli, Mr. Maxmillian"
0,"Gilinski, Mr. Eliezer"
0,"Rintamaki, Mr. Matti"
1,"Stephenson, Mrs. Walter Bertram (Martha Eustis)"
0,"Elsbury, Mr. William James"
0,"Chapman, Mr. John Henry"
0,"Van Impe, Mr. Jean Baptiste"
0,"Johnson, Mr. Alfred"
1,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")"
1,"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)"
0,"Torber, Mr. Ernst William"
1,"Homer, Mr. Harry (""Mr E Haven"")"
0,"Lindell, Mr. Edvard Bengtsson"
0,"Karaic, Mr. Milan"
1,"Daniel, Mr. Robert Williams"
1,"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)"
1,"Shutes, Miss. Elizabeth W"
0,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)"
0,"Brocklebank, Mr. William Alfred"
1,"Herman, Miss. Alice"
0,"Danbom, Mr. Ernst Gilbert"
0,"Lobb, Mrs. William Arthur (Cordelia K Stanlick)"
1,"Becker, Miss. Marion Louise"
0,"Gavey, Mr. Lawrence"
0,"Yasbeck, Mr. Antoni"
1,"Kimball, Mr. Edwin Nelson Jr"
1,"Nakid, Mr. Sahid"
0,"Hansen, Mr. Henry Damsgaard"
0,"Bowen, Mr. David John ""Dai"""
0,"Sutton, Mr. Frederick"
0,"Kirkland, Rev. Charles Leonard"
1,"Longley, Miss. Gretchen Fiske"
0,"Bostandyeff, Mr. Guentcho"
1,"Barkworth, Mr. Algernon Henry Wilson"
0,"Lundahl, Mr. Johan Svensson"
1,"Stahelin-Maeglin, Dr. Max"
0,"Skoog, Miss. Mabel"
1,"Davis, Miss. Mary"
0,"Leinonen, Mr. Antti Gustaf"
0,"Collyer, Mr. Harvey"
0,"Panula, Mrs. Juha (Maria Emilia Ojala)"
0,"Jensen, Mr. Hans Peder"
1,"Sagesser, Mlle. Emma"
0,"Skoog, Miss. Margit Elizabeth"
1,"Baclini, Miss. Eugenie"
1,"Harper, Mr. Henry Sleeper"
0,"Cor, Mr. Liudevit"
1,"Simonius-Blumer, Col. Oberst Alfons"
1,"Stanley, Miss. Amy Zillah Elsie"
1,"Doling, Miss. Elsie"
0,"Kalvik, Mr. Johannes Halvorsen"
0,"Hegarty, Miss. Hanora ""Nora"""
0,"Hickman, Mr. Leonard Mark"
0,"Bourke, Mrs. John (Catherine)"
0,"Eitemiller, Mr. George Floyd"
0,"Newell, Mr. Arthur Webster"
1,"Frauenthal, Dr. Henry William"
0,"Badt, Mr. Mohamed"
0,"Colley, Mr. Edward Pomeroy"
0,"Coleff, Mr. Peju"
1,"Lindqvist, Mr. Eino William"
0,"Hickman, Mr. Lewis"
0,"Butler, Mr. Reginald Fenton"
0,"Cook, Mr. Jacob"
1,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)"
0,"Davidson, Mr. Thornton"
0,"Mitchell, Mr. Henry Michael"
1,"Wilhelms, Mr. Charles"
0,"Edvardsson, Mr. Gustaf Hjalmar"
0,"Sawyer, Mr. Frederick Charles"
1,"Turja, Miss. Anna Sofia"
0,"Goodwin, Mrs. Frederick (Augusta Tyler)"
1,"Cardeza, Mr. Thomas Drake Martinez"
1,"Hassab, Mr. Hammad"
0,"Olsvigen, Mr. Thor Anderson"
0,"Goodwin, Mr. Charles Edward"
0,"Brown, Mr. Thomas William Solomon"
0,"Laroche, Mr. Joseph Philippe Lemercier"
0,"Panula, Mr. Jaako Arnold"
0,"Dakic, Mr. Branko"
0,"Fischer, Mr. Eberhard Thelander"
1,"Madill, Miss. Georgette Alexandra"
1,"Dick, Mr. Albert Adrian"
1,"Karun, Miss. Manca"
0,"Saad, Mr. Khalil"
0,"Weir, Col. John"
0,"Chapman, Mr. Charles Henry"
0,"Kelly, Mr. James"
0,"Thayer, Mr. John Borland"
0,"Humblen, Mr. Adolf Mathias Nicolai Olsen"
1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)"
1,"Silverthorne, Mr. Spencer Victor"
0,"Barbara, Miss. Saiide"
0,"Gallagher, Mr. Martin"
0,"Hansen, Mr. Henrik Juul"
0,"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")"
1,"Kelly, Mrs. Florence ""Fannie"""
1,"Calderhead, Mr. Edward Pennington"
1,"Cleaver, Miss. Alice"
1,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")"
1,"Taylor, Mr. Elmer Zebley"
0,"Larsson, Mr. August Viktor"
0,"Greenberg, Mr. Samuel"
0,"Soholt, Mr. Peter Andreas Lauritz Andersen"
1,"Endres, Miss. Caroline Louise"
1,"Troutt, Miss. Edwina Celia ""Winnie"""
0,"Johnson, Mr. Malkolm Joackim"
1,"Harper, Miss. Annie Jessie ""Nina"""
0,"Jensen, Mr. Svend Lauritz"
0,"Gillespie, Mr. William Henry"
0,"Hodges, Mr. Henry Price"
1,"Chambers, Mr. Norman Campbell"
0,"Oreskovic, Mr. Luka"
1,"Renouf, Mrs. Peter Henry (Lillian Jefferys)"
0,"Bryhl, Mr. Kurt Arnold Gottfrid"
0,"Ilmakangas, Miss. Pieta Sofia"
1,"Allen, Miss. Elisabeth Walton"
0,"Hassan, Mr. Houssein G N"
0,"Berriman, Mr. William John"
0,"Troupiansky, Mr. Moses Aaron"
0,"Williams, Mr. Leslie"
0,"Ford, Mrs. Edward (Margaret Ann Watson)"
1,"Lesurer, Mr. Gustave J"
0,"Cavendish, Mr. Tyrell William"
1,"Ryerson, Miss. Susan Parker ""Suzette"""
0,"McNamee, Mr. Neal"
1,"Stranden, Mr. Juho"
0,"Crosby, Capt. Edward Gifford"
0,"Abbott, Mr. Rossmore Edward"
1,"Sinkkonen, Miss. Anna"
0,"Marvin, Mr. Daniel Warner"
0,"Connaghton, Mr. Michael"
1,"Wells, Miss. Joan"
1,"Moor, Master. Meier"
0,"Vande Velde, Mr. Johannes Joseph"
0,"Jonkoff, Mr. Lalio"
1,"Herman, Mrs. Samuel (Jane Laver)"
1,"Hamalainen, Master. Viljo"
0,"Carlsson, Mr. August Sigfrid"
0,"Bailey, Mr. Percy Andrew"
0,"Theobald, Mr. Thomas Leonard"
1,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)"
0,"Nirva, Mr. Iisakki Antino Aijo"
1,"Barah, Mr. Hanna Assi"
1,"Carter, Mrs. William Ernest (Lucile Polk)"
0,"Eklund, Mr. Hans Linus"
1,"Hogeboom, Mrs. John C (Anna Andrews)"
0,"Mangan, Miss. Mary"
0,"Gronnestad, Mr. Daniel Danielsen"
0,"Lievens, Mr. Rene Aime"
0,"Jensen, Mr. Niels Peder"
0,"Mack, Mrs. (Mary)"
1,"Hocking, Mrs. Elizabeth (Eliza Needs)"
0,"Myhrman, Mr. Pehr Fabian Oliver Malkolm"
1,"Emanuel, Miss. Virginia Ethel"
1,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)"
1,"Ayoub, Miss. Banoura"
1,"Dick, Mrs. Albert Adrian (Vera Gillespie)"
0,"Long, Mr. Milton Clyde"
0,"Ali, Mr. William"
0,"Harmer, Mr. Abraham (David Lishin)"
1,"Sjoblom, Miss. Anna Sofia"
0,"Rice, Master. George Hugh"
1,"Dean, Master. Bertram Vere"
0,"Guggenheim, Mr. Benjamin"
0,"Gaskell, Mr. Alfred"
0,"Dantcheff, Mr. Ristiu"
0,"Otter, Mr. Richard"
